key_id,season_id,season,tier,division,subdivision,winner,count_teams
1,S-1888-1,1888,1,First Division,None,Preston North End,12
2,S-1889-1,1889,1,First Division,None,Preston North End,12
3,S-1890-1,1890,1,First Division,None,Everton,12
4,S-1891-1,1891,1,First Division,None,Sunderland,14
5,S-1892-1,1892,1,First Division,None,Sunderland,16
6,S-1892-2,1892,2,Second Division,None,Small Heath,12
7,S-1893-1,1893,1,First Division,None,Aston Villa,16
8,S-1893-2,1893,2,Second Division,None,Liverpool,15
9,S-1894-1,1894,1,First Division,None,Sunderland,16
10,S-1894-2,1894,2,Second Division,None,Bury,16
11,S-1895-1,1895,1,First Division,None,Aston Villa,16
12,S-1895-2,1895,2,Second Division,None,Liverpool,16
13,S-1896-1,1896,1,First Division,None,Aston Villa,16
14,S-1896-2,1896,2,Second Division,None,Notts County,16
15,S-1897-1,1897,1,First Division,None,Sheffield United,16
16,S-1897-2,1897,2,Second Division,None,Burnley,16
17,S-1898-1,1898,1,First Division,None,Aston Villa,18
18,S-1898-2,1898,2,Second Division,None,Manchester City,18
19,S-1899-1,1899,1,First Division,None,Aston Villa,18
20,S-1899-2,1899,2,Second Division,None,The Wednesday,18
21,S-1900-1,1900,1,First Division,None,Liverpool,18
22,S-1900-2,1900,2,Second Division,None,Grimsby Town,18
23,S-1901-1,1901,1,First Division,None,Sunderland,18
24,S-1901-2,1901,2,Second Division,None,West Bromwich Albion,18
25,S-1902-1,1902,1,First Division,None,The Wednesday,18
26,S-1902-2,1902,2,Second Division,None,Manchester City,18
27,S-1903-1,1903,1,First Division,None,The Wednesday,18
28,S-1903-2,1903,2,Second Division,None,Preston North End,18
29,S-1904-1,1904,1,First Division,None,Newcastle United,18
30,S-1904-2,1904,2,Second Division,None,Liverpool,18
31,S-1905-1,1905,1,First Division,None,Liverpool,20
32,S-1905-2,1905,2,Second Division,None,Bristol City,20
33,S-1906-1,1906,1,First Division,None,Newcastle United,20
34,S-1906-2,1906,2,Second Division,None,Nottingham Forest,20
35,S-1907-1,1907,1,First Division,None,Manchester United,20
36,S-1907-2,1907,2,Second Division,None,Bradford City,20
37,S-1908-1,1908,1,First Division,None,Newcastle United,20
38,S-1908-2,1908,2,Second Division,None,Bolton Wanderers,20
39,S-1909-1,1909,1,First Division,None,Aston Villa,20
40,S-1909-2,1909,2,Second Division,None,Manchester City,20
41,S-1910-1,1910,1,First Division,None,Manchester United,20
42,S-1910-2,1910,2,Second Division,None,West Bromwich Albion,20
43,S-1911-1,1911,1,First Division,None,Blackburn Rovers,20
44,S-1911-2,1911,2,Second Division,None,Derby County,20
45,S-1912-1,1912,1,First Division,None,Sunderland,20
46,S-1912-2,1912,2,Second Division,None,Preston North End,20
47,S-1913-1,1913,1,First Division,None,Blackburn Rovers,20
48,S-1913-2,1913,2,Second Division,None,Notts County,20
49,S-1914-1,1914,1,First Division,None,Everton,20
50,S-1914-2,1914,2,Second Division,None,Derby County,20
51,S-1919-1,1919,1,First Division,None,West Bromwich Albion,22
52,S-1919-2,1919,2,Second Division,None,Tottenham Hotspur,22
53,S-1920-1,1920,1,First Division,None,Burnley,22
54,S-1920-2,1920,2,Second Division,None,Birmingham,22
55,S-1920-3,1920,3,Third Division,None,Crystal Palace,22
56,S-1921-1,1921,1,First Division,None,Liverpool,22
57,S-1921-2,1921,2,Second Division,None,Nottingham Forest,22
58,S-1921-3-N,1921,3,Third Division,North,Stockport County,20
59,S-1921-3-S,1921,3,Third Division,South,Southampton,22
60,S-1922-1,1922,1,First Division,None,Liverpool,22
61,S-1922-2,1922,2,Second Division,None,Notts County,22
62,S-1922-3-N,1922,3,Third Division,North,Nelson,20
63,S-1922-3-S,1922,3,Third Division,South,Bristol City,22
64,S-1923-1,1923,1,First Division,None,Huddersfield Town,22
65,S-1923-2,1923,2,Second Division,None,Leeds United,22
66,S-1923-3-N,1923,3,Third Division,North,Wolverhampton Wanderers,22
67,S-1923-3-S,1923,3,Third Division,South,Portsmouth,22
68,S-1924-1,1924,1,First Division,None,Huddersfield Town,22
69,S-1924-2,1924,2,Second Division,None,Leicester City,22
70,S-1924-3-N,1924,3,Third Division,North,Darlington,22
71,S-1924-3-S,1924,3,Third Division,South,Swansea Town,22
72,S-1925-1,1925,1,First Division,None,Huddersfield Town,22
73,S-1925-2,1925,2,Second Division,None,The Wednesday,22
74,S-1925-3-N,1925,3,Third Division,North,Grimsby Town,22
75,S-1925-3-S,1925,3,Third Division,South,Reading,22
76,S-1926-1,1926,1,First Division,None,Newcastle United,22
77,S-1926-2,1926,2,Second Division,None,Middlesbrough,22
78,S-1926-3-N,1926,3,Third Division,North,Stoke City,22
79,S-1926-3-S,1926,3,Third Division,South,Bristol City,22
80,S-1927-1,1927,1,First Division,None,Everton,22
81,S-1927-2,1927,2,Second Division,None,Manchester City,22
82,S-1927-3-N,1927,3,Third Division,North,Bradford Park Avenue,22
83,S-1927-3-S,1927,3,Third Division,South,Millwall,22
84,S-1928-1,1928,1,First Division,None,The Wednesday,22
85,S-1928-2,1928,2,Second Division,None,Middlesbrough,22
86,S-1928-3-N,1928,3,Third Division,North,Bradford City,22
87,S-1928-3-S,1928,3,Third Division,South,Charlton Athletic,22
88,S-1929-1,1929,1,First Division,None,Sheffield Wednesday,22
