key_id,team_id,team_name,former_team_names,current,former,defunct,first_appearance
1,T-001,Accrington,None,0,0,1,1888
2,T-002,Aston Villa,None,1,0,0,1888
3,T-003,Blackburn Rovers,None,1,0,0,1888
4,T-004,Bolton Wanderers,None,1,0,0,1888
5,T-005,Burnley,None,1,0,0,1888
6,T-006,Derby County,None,1,0,0,1888
7,T-007,Everton,None,1,0,0,1888
8,T-008,Notts County,None,0,1,0,1888
9,T-009,Preston North End,None,1,0,0,1888
10,T-010,Stoke City,Stoke,1,0,0,1888
11,T-011,West Bromwich Albion,None,1,0,0,1888
12,T-012,Wolverhampton Wanderers,None,1,0,0,1888
13,T-013,Sunderland,None,1,0,0,1890
14,T-014,Darwen,None,0,0,1,1891
15,T-015,Birmingham City,"Small Heath, Birmingham",1,0,0,1892
16,T-016,Bootle,None,0,0,1,1892
17,T-017,Burton Swifts,None,0,0,1,1892
18,T-018,Crewe Alexandra,None,1,0,0,1892
19,T-019,Grimsby Town,None,1,0,0,1892
20,T-020,Lincoln City,None,1,0,0,1892
21,T-021,Manchester City,Ardwick,1,0,0,1892
22,T-022,Manchester United,Newton Heath,1,0,0,1892
23,T-023,Northwich Victoria,None,0,1,0,1892
24,T-024,Nottingham Forest,None,1,0,0,1892
25,T-025,Port Vale,Burslem Port Vale,1,0,0,1892
26,T-026,Sheffield United,None,1,0,0,1892
27,T-027,Sheffield Wednesday,The Wednesday,1,0,0,1892
28,T-028,Walsall,Walsall Town Swifts,1,0,0,1892
29,T-029,Arsenal,Woolwich Arsenal,1,0,0,1893
30,T-030,Liverpool,None,1,0,0,1893
31,T-031,Middlesbrough Ironopolis,None,0,0,1,1893
32,T-032,Newcastle United,None,1,0,0,1893
33,T-033,Rotherham Town,None,0,0,1,1893
34,T-034,Burton Wanderers,None,0,0,1,1894
35,T-035,Bury,None,0,1,0,1894
36,T-036,Leicester City,Leicester Fosse,1,0,0,1894
37,T-037,Loughborough,None,0,0,1,1895
38,T-038,Blackpool,None,1,0,0,1896
39,T-039,Gainsborough Trinity,None,0,1,0,1896
40,T-040,Luton Town,None,1,0,0,1897
41,T-041,Barnsley,None,1,0,0,1898
42,T-042,Glossop,Glossop North End,0,1,0,1898
43,T-043,New Brighton Tower,None,0,0,1,1898
44,T-044,Chesterfield,Chesterfield Town,0,1,0,1899
45,T-045,Middlesbrough,None,1,0,0,1899
46,T-046,Stockport County,None,1,0,0,1900
47,T-047,Bristol City,None,1,0,0,1901
48,T-048,Burton United,None,0,0,1,1901
49,T-049,Doncaster Rovers,None,1,0,0,1901
50,T-050,Bradford City,None,1,0,0,1903
51,T-051,Chelsea,None,1,0,0,1905
52,T-052,Hull City,None,1,0,0,1905
53,T-053,Leeds City,None,0,0,1,1905
54,T-054,Leyton Orient,"Clapton Orient, Orient",1,0,0,1905
55,T-055,Fulham,None,1,0,0,1907
56,T-056,Oldham Athletic,None,0,1,0,1907
57,T-057,Bradford Park Avenue,None,0,1,0,1908
58,T-058,Tottenham Hotspur,None,1,0,0,1908
59,T-059,Huddersfield Town,None,1,0,0,1910
60,T-060,Coventry City,None,1,0,0,1919
61,T-061,Gateshead,South Shields,0,0,1,1919
62,T-062,Rotherham County,None,0,0,1,1919
63,T-063,West Ham United,None,1,0,0,1919
64,T-064,Brentford,None,1,0,0,1920
65,T-065,Brighton & Hove Albion,None,1,0,0,1920
66,T-066,Bristol Rovers,None,1,0,0,1920
67,T-067,Cardiff City,None,1,0,0,1920
68,T-068,Crystal Palace,None,1,0,0,1920
69,T-069,Exeter City,None,1,0,0,1920
70,T-070,Gillingham,None,1,0,0,1920
71,T-071,Leeds United,None,1,0,0,1920
72,T-072,Merthyr Town,None,0,1,0,1920
73,T-073,Millwall,None,1,0,0,1920
74,T-074,Newport County,None,1,0,0,1920
75,T-075,Northampton Town,None,1,0,0,1920
76,T-076,Norwich City,None,1,0,0,1920
77,T-077,Plymouth Argyle,None,1,0,0,1920
78,T-078,Portsmouth,None,1,0,0,1920
79,T-079,Queens Park Rangers,None,1,0,0,1920
80,T-080,Reading,None,1,0,0,1920
81,T-081,Southampton,None,1,0,0,1920
82,T-082,Southend United,None,0,1,0,1920
83,T-083,Swansea City,Swansea Town,1,0,0,1920
84,T-084,Swindon Town,None,1,0,0,1920
85,T-085,Watford,None,1,0,0,1920
86,T-086,Aberdare Athletic,None,0,0,1,1921
87,T-087,Accrington Stanley,None,1,0,0,1921
88,T-088,Ashington,None,0,1,0,1921
89,T-089,Barrow,None,1,0,0,1921
90,T-090,Charlton Athletic,None,1,0,0,1921
91,T-091,Darlington,None,0,1,0,1921
92,T-092,Durham City,None,0,0,1,1921
93,T-093,Halifax Town,None,0,0,1,1921
94,T-094,Hartlepool United,"Hartlepools United, Hartlepool",1,0,0,1921
95,T-095,Nelson,None,0,1,0,1921
96,T-096,Rochdale,None,1,0,0,1921
97,T-097,Southport,None,0,1,0,1921
98,T-098,Stalybridge Celtic,None,0,1,0,1921
99,T-099,Tranmere Rovers,None,1,0,0,1921
100,T-100,Wigan Borough,None,0,0,1,1921
101,T-101,Wrexham,None,0,1,0,1921
102,T-102,Bournemouth,Bournemouth & Boscombe Athletic,1,0,0,1923
103,T-103,New Brighton,None,0,0,1,1923
104,T-104,Rotherham United,None,1,0,0,1925
105,T-105,Torquay United,None,0,1,0,1927
106,T-106,Carlisle United,None,1,0,0,1928
107,T-107,York City,None,0,1,0,1929
108,T-108,Thames,None,0,0,1,1930
109,T-109,Chester City,Chester,0,0,1,1931
110,T-110,Mansfield Town,None,1,0,0,1931
111,T-111,Aldershot,None,0,0,1,1932
112,T-112,Ipswich Town,None,1,0,0,1938
113,T-113,Colchester United,None,1,0,0,1950
114,T-114,Scunthorpe United,Scunthorpe & Lindsey United,0,1,0,1950
115,T-115,Shrewsbury Town,None,1,0,0,1950
116,T-116,Workington,None,0,1,0,1951
117,T-117,Peterborough United,None,1,0,0,1960
118,T-118,Oxford United,None,1,0,0,1962
119,T-119,Cambridge United,None,1,0,0,1970
120,T-120,Hereford United,None,0,0,1,1972
121,T-121,Wimbledon,None,0,0,1,1977
122,T-122,Wigan Athletic,None,1,0,0,1978
123,T-123,Scarborough,None,0,0,1,1987
124,T-124,Maidstone United,None,0,0,1,1989
125,T-125,Barnet,None,0,1,0,1991
126,T-126,Wycombe Wanderers,None,1,0,0,1993
127,T-127,Macclesfield Town,None,0,0,1,1997
128,T-128,Cheltenham Town,None,1,0,0,1999
129,T-129,Kidderminster Harriers,None,0,1,0,2000
130,T-130,Rushden & Diamonds,None,0,0,1,2001
131,T-131,Boston United,None,0,1,0,2002
132,T-132,Yeovil Town,None,0,1,0,2003
133,T-133,Milton Keynes Dons,None,1,0,0,2004
134,T-134,Dagenham & Redbridge,None,0,1,0,2007
135,T-135,Morecambe,None,1,0,0,2007
136,T-136,Aldershot Town,None,0,1,0,2008
137,T-137,Burton Albion,None,1,0,0,2009
138,T-138,Stevenage,None,1,0,0,2010
139,T-139,Crawley Town,None,1,0,0,2011
140,T-140,Fleetwood Town,None,1,0,0,2012
